No.	Gloss	P.	PBz	TS	FX	XR	XL	CB	CJ							
2050	rice; 穀子	N$ S^	*bu³	li²⁴ pu²⁴	li³⁵ pu⁵³	li³⁵ pu³⁵	li³⁵ pu³⁵	bu²¹ le²¹								
2051	sorghum; 高粱	^	*ɣuŋ¹ᴹ	ɔ̃⁵⁵ pa⁵⁵	oŋ⁵³ pa⁵³	õ⁵⁴ pʰa³³ zə⁵⁵ '高粱酒 (sorghum liquor)'		ɣɯ⁵⁵ bo¹³	"ʔẽ³³bo³⁵ (1986S)
2052	sorghum; 高粱	$	*bɑ¹ᴹ	ɔ̃⁵⁵ pa⁵⁵	oŋ⁵³ pa⁵³	õ⁵⁴ pʰa³³ zə⁵⁵ '高粱酒 (sorghum liquor)'			""ʔẽ³³bo³⁵ (1986S)"							
2053	thin (<> thick); 薄	^	*sɑ²	sa²¹ sa²¹	sa²¹ sai³⁵	sa³³ sa³³-³¹		so³³ so⁵⁵								
2054	thin (<> thick); 薄	$	*sɑ³	sa²¹ sa²¹	sa²¹ sai³⁵	sa³³ sa³³-³¹		so³³ so⁵⁵								
2055	thread; 綫	^	*t[uŋ/u]¹ᴹ	tʰɔ̃⁵¹ mɔ̃²¹;tʰu⁵¹ mɔ̃²¹ 	tʰoŋ⁵³ mu⁵³	tʰũ³³ mu⁵⁵	tʰuŋ⁵⁵ mu²¹	tu³³ mu¹³								
2056	thread; 綫	$	*mu²	tʰɔ̃⁵¹ mɔ̃²¹;tʰu⁵¹ mɔ̃²¹ 	tʰoŋ⁵³ mu⁵³	tʰũ³³ mu⁵⁵	tʰuŋ⁵⁵ mu²¹	tu³³ mu¹³								
2057	to connect; 連接	^	*ʔæ	a⁵⁵ sa⁵⁵					ʔa³³so²¹  (1986S)							
2058	to connect; 連接	$	*sɑ¹ᴸ	a⁵⁵ sa⁵⁵					ʔa³³so²¹  (1986S)							
2059	to drive away; 趕	^	*ʔæ	ʨiɛ⁵¹		a⁵⁴ ʨe³³-³¹	ʨe⁵⁵	ʔa²¹ ʥie¹³								
2060	to drive away; 趕	$	*ʥe¹ᴸ	ʨiɛ⁵¹	ʨe⁵³	a⁵⁴ ʨe³³-³¹	ʨe⁵⁵	ʔa²¹ ʥie¹³								
2061	to exchange; 交換	^	*ʔæ	a²⁴ li⁵⁵	a³⁵ li⁵³		a³⁵ li³⁵	ʔa¹³ lie⁵⁵								
2062	to exchange; 交換	$	*lie¹ᴴ	a²⁴ li⁵⁵	a³⁵ li⁵³		a³⁵ li³⁵	ʔa¹³ lie⁵⁵								
2063	to flip over; 翻過來	^	*ʔæ		a⁵⁵ zu⁵⁵			ʔa³³ zu¹³; ʔa³³ zu³⁵								
2064	to flip over; 翻過來	$	*ɹu¹ᴸ		a⁵⁵ zu⁵⁵			ʔa³³ zu¹³; ʔa³³ zu³⁵								
2065	to forget; 忘記	^	*si¹ᴹ	sɿ⁵⁵ ma²¹	ɕi⁵⁵ ma⁵³	ɕi³³ ma⁵⁵	ɕi⁵⁵ ma²¹ lio⁵⁵	si³³ mo³⁵								
2066	to forget; 忘記	$	*mɑ²	sɿ⁵⁵ ma²¹	ɕi⁵⁵ ma⁵³	ɕi³³ ma⁵⁵	ɕi⁵⁵ ma²¹ lio⁵⁵	si³³ mo³⁵								
2067	to itch; 癢	^	*si¹ᴹ	sɿ⁵⁵ ŋa²¹	si⁵³ ŋa²¹	ɕi³³ ŋã⁵⁵		si³³ wo³⁵								
2068	to itch; 癢	$	*[ŋ/ʔ]ɑ²	sɿ⁵⁵ ŋa²¹	si⁵³ŋa²¹	ɕi³³ ŋã⁵⁵		si³³ wo³⁵								
2069	to learn; 學	^	*ʔæ	a²⁴ ɣɨ⁵⁵	a³⁵ ei⁵³	a³³ ɣə³³; ɣa³⁵ ɣɯ³⁵	a³⁵ ɣɯ⁵³	a¹³ ɣe⁵⁵								
2070	to learn; 學	$	*ɣ[i/e/ɤ]¹ᴴ	a²⁴ ɣɨ⁵⁵	a³⁵ ei⁵³	a³³ ɣə³³; ɣa³⁵ ɣɯ³⁵	a³⁵ ɣɯ⁵³	a¹³ ɣe⁵⁵								
2071	to love; 愛	^	*ʔæ	a²⁴ ʦʰɿ⁵⁵	a³⁵ ʦʰi⁵⁵	(x)a³³ ʦʰɿ³³; a³⁵ ʦʰɿ⁵⁴		a²¹ ʦʰi²¹								
2072	to love; 愛	$	*ʦʰɿ⁴	a²⁴ ʦʰɿ⁵⁵	a³⁵ ʦʰi⁵⁵	(x)a³³ ʦʰɿ³³; a³⁵ ʦʰɿ⁵⁴		a²¹ ʦʰi²¹								
2073	to roast; 烤	^	*tu¹ᴹ		tʰu⁵³ u²¹	tʰu³³ u⁵⁵; mi⁵⁴ tʰu³³ u³³	tʰu⁵³ wu²¹	tu⁵⁵ wu¹³								
2074	to roast; 烤	$	*ʔu²		tʰu⁵³ u²¹	tʰu³³ u³³; mi⁵⁴ tʰu³³ u³³	tʰu⁵³ wu²¹	tu⁵⁵ wu¹³								
2075	to roll; 滾	^	*ku@?	kʰu⁵⁵ luɔ⁵⁵	kʰu⁵³ lu⁵³			ku¹³ lu⁵⁵ 'to fall'	ku³⁵ lu⁴⁴ (2006S)							
2076	to roll; 滾	$	*lɑC¹ᴹ	kʰu⁵⁵ luɔ⁵⁵	kʰu⁵³ lu⁵³			ku¹³ lu⁵⁵ 'to fall'	ku³⁵ lu⁴⁴ (2006S)							
2077	to squat; 蹲	^	*gu¹ᴹ	ku⁵⁵ tu⁵¹	ku⁵³ tu⁵³	kʰu⁵⁴ tu⁵⁵	ku⁵⁵ tu²¹	ku³³ du¹³								
2078	to squat; 蹲	$	*du²	ku⁵⁵ tu⁵¹	ku⁵³ tu⁵³	kʰu⁵⁴ tu⁵⁵	ku⁵⁵ tu²¹	ku³³ du¹³								
2079	to paste; 貼	^	*ʔæ	a⁵⁵ la²¹	an⁵⁵ lan⁵³	a³³ na⁵⁴		ʔa³³ ȵo¹³								
2080	to paste; 貼	$	*ȵɑ¹ᴸ	a⁵⁵ la²¹	an⁵⁵ lan⁵³	a³³ na⁵⁴		ʔa³³ ȵo¹³								
2081	to stink; 臭	^	*nɑ¹ᴹ	lã²¹	lan²¹	nã³³	lã²¹	la³³ ŋi³⁵								
2082	to stink; 臭	$	*ŋi²	lã²¹	lan²¹	nã³³	lã²¹	la³³ ŋi³⁵								
2083	to throw; 扔	^	*[ɕ/s]i²			ɕi³³ ɕɛ⁵⁴		ɕi³⁵ ȵio⁵⁵								
2084	to throw; 扔	S$	*ȵɑ³	la²⁴	la³⁵	na³⁵		ɕi³⁵ ȵio⁵⁵								
2085	to tie up; 綁	^	*ʔæ	tʰi²⁴	tʰi³⁵	ɣa³³ tʰi³³-³¹	tʰi³⁵	ʔa¹³ tʰi⁵⁵	ʔa²¹ tʰe³¹							
2086	to tie up; 綁	^	*tʰie³	tʰi²⁴	tʰi³⁵	ɣa³³ tʰi³³-³¹	tʰi³⁵	ʔa¹³ tʰi⁵⁵	ʔa²¹ tʰe³¹							
2087	tongue; 舌頭	^	*ʑi⁴	ji²⁴ la⁵⁵	i³⁵ la⁵³	ʑi³³ la⁵⁴	ji³⁵ la³⁵	ǳɿ²¹ la²¹	ǳɿ²¹ la²¹							
2088	tongue; 舌頭	$	*læ⁴	ji²⁴ la⁵⁵	i³⁵ la⁵⁴	ʑi³³ la⁵⁵	ji³⁵ la³⁵	ǳɿ²¹ la²¹	ǳɿ²¹ la²¹							
2089	vegetable; 蔬菜	^	*ʔæ	ɕi²⁴ pʰɔ̃⁵¹; sɿ²⁴ pʰɔ̃⁵¹	tɕe⁵³	a³³ ɕi³³		a²¹ ɕi²¹								
2090	vegetable; 蔬菜	$	*si²	ɕi²⁴ pʰɔ̃⁵¹; sɿ²⁴ pʰɔ̃⁵¹		a³³ ɕi³³		a²¹ ɕi²¹								
2091	we; 咱們	^	*ʔæ	ã²⁴ ȵi⁵⁵	an³⁵ ȵi⁵³	a³³ ȵi³³	a³⁵ ȵi³⁵	ʔa²¹ ȵi²¹	ʔa²¹ ȵi²¹							
2092	we; 咱們	$	*ȵi⁴	ã²⁴ ȵi⁵⁵	an³⁵ ȵi⁵³	a³³ ȵi³³	a³⁵ ȵi³⁵	ʔa²¹ ȵi²¹								
2093	who; 誰	^	*ʔæ	a⁵¹ sɤ²¹	a⁵³ se²¹	a³³ so⁵⁵	a³⁵ sə⁵⁵	ʔa³³ si³³	ʔa²¹ sɿ²¹							
2094	who; 誰	$	*sɤ@?	a⁵¹ sɤ²¹	a⁵³ se²¹	a³³ so⁵⁵	a³⁵ sə⁵⁵	ʔa³³ si³³ ŋi³³								
2095	wild cat; 野貓	^	*ǳɑC⁴	ʦuɔ²⁴ kʰu⁵⁵	ʦo³⁵ kʰu²¹	ʦo³⁵ kʰu⁵⁴		za²¹ gu²¹ '野兽 (beast)'								
2096	wild cat; 野貓	$	*ku⁴	ʦuɔ²⁴ kʰu⁵⁵	ʦo³⁵ kʰu²¹	ʦo³⁵ kʰu⁵⁴		za²¹ gu²¹ '野兽 (beast)'								
2097	wok; 鍋	^	*tɑ⁴	tʰa²⁴ kʰu⁵⁵	tʰa³⁵ kʰu⁵³	tʰa³⁵-³³ kʰu⁵⁵-³³	tʰa³⁵ kʰu²¹	tɯ²¹ kɯ²¹	dɯ²¹ gɯ¹³; dɯ³¹ gɯ³⁵; dɯ²¹ gɯ²¹							
2098	wok; 鍋	$	*kɯ⁴	tʰa²⁴ kʰu⁵⁵	tʰa³⁵ kʰu⁵³	tʰa³⁵-³³ kʰu⁵⁵-³³	tʰa³⁵ kʰu²¹	tɯ²¹ kɯ²¹	dɯ²¹ gɯ¹³; dɯ³¹ gɯ³⁵; dɯ²¹ gɯ²¹							
2099	yesterday; 昨天	^	*pʰu@?	pʰɔ̃²¹ ȵiɛ²¹;pʰu²¹ ȵi²¹	pʰu²¹ ȵi²¹	pʰu³³ ȵi³³	pʰu²¹ ȵe⁵⁵	pʰu³³ ȵie³³								
2100	yesterday; 昨天	$	*ȵi@?	pʰɔ̃²¹ ȵiɛ²¹;pʰu²¹ ȵi²¹	pʰu²¹ ȵi²¹	pʰu³³ ȵi³³	pʰu²¹ ȵe⁵⁵	pʰu³³ ȵie³³								
2101	younger brother; 弟弟	^	*ʔæ	ã⁵⁵ ŋai⁵¹	an⁵³ ŋai⁵³; a³⁵ ŋai⁵³	ã⁵⁵ ŋei⁵³		a³³ ŋo³³	ʔa⁵¹ ŋo³⁵; ʔa³³ ŋo³⁵							
2102	younger brother; 弟弟	$	*ŋɑ¹ᴹ	ã⁵⁵ ŋai⁵¹	an⁵³ ŋai⁵³; a³⁵ ŋai⁵³	ã⁵⁵ ŋei⁵³		a³³ ŋo³³	ʔa⁵¹ ŋo³⁵; ʔa³³ ŋo³⁵							
2103	finger; 指頭	²/³	*Øm̩¹ᴸ	ʨiɛ²⁴ mi⁵⁵ tʰi²¹	ʨe³⁵ mi⁵³ tʰi²¹	ʨe³⁵ mi⁵⁵ tʰi³³-³¹			ʨie⁵³ m̩²¹ te²¹							
2104	finger; 指頭	$	*tʰie@?	ʨiɛ²⁴ mi⁵⁵ tʰi²¹	ʨe³⁵ mi⁵³ tʰi²¹	ʨe³⁵ mi⁵⁵ tʰi³³-³¹			ʨie⁵³ m̩²¹ te²¹							
2105	chopsticks; 筷子	^	*Øm̩¹ᴸ	pu⁵⁵ ʦɿ⁵⁵	pu⁵³ ʦi⁵³	mu⁵⁵ ʦɿ³³	pu⁵⁵ ʦɿ⁵⁵	m²¹ ǳɿ²¹	m̩²¹ ǳɿ²¹							
2106	chopsticks; 筷子	$	*ǳɿ¹ᴸ	pu⁵⁵ ʦɿ⁵⁵	pu⁵³ ʦi⁵³	mu⁵⁵ ʦɿ³³	pu⁵⁵ ʦɿ⁵⁵	m²¹ ǳɿ²¹	m̩²¹ ǳɿ²¹							
2107	spider; 蜘蛛	^	*Øm̩¹ᴸ	pu⁵⁵ ʦʰɿ⁵⁵	pu⁵⁵ ʦʰi⁵³	mu⁵⁴ ʦʰɿ³³		a³³ ʦʰi³³	ʔa²¹ ʦʰɿ²¹							
2108	spider; 蜘蛛	$	*ʦʰɿ¹ᴸ	pu⁵⁵ ʦʰɿ⁵⁵	pu⁵⁵ ʦʰi⁵³	mu⁵⁴ ʦʰɿ³³		a³³ ʦʰi³³	ʔa²¹ ʦʰɿ²¹							
2109	guest; 客人	^	*Øm̩¹ᴴ	pu⁵⁵ ʦʰuɔ²¹	pu⁵³ ʦʰo²¹	mo³³ ʦʰo⁵⁴-⁵⁵; mo⁵⁵-³⁵ ʦʰo⁵⁵	pu⁵⁵ ʦʰo²¹	m̩⁵⁵ ʦʰa¹³ ŋi²¹	m̩⁵⁵ ʦʰa³⁵							
2110	guest; 客人	$	*ʦʰɑC²	pu⁵⁵ ʦʰuɔ²¹	pu⁵³ ʦʰo²¹	mo³³ ʦʰo⁵⁴-⁵⁵; mo⁵⁵-³⁵ ʦʰo⁵⁵	pu⁵⁵ ʦʰo²¹	m̩⁵⁵ ʦʰa¹³ ŋi²¹	m̩⁵⁵ ʦʰa³⁵							
2111	bamboo mat; 竹蓆	^	*Øm̩¹ᴸ	pu⁵⁵ sɤ⁵⁵		mu³³ se³³		m̩²¹ ɕie²¹	m²¹ se⁵³							
2112	bamboo mat; 竹蓆	$	*sɤ¹ᴴ	pu⁵⁵ sɤ⁵⁵		mu³³ se³³		m̩²¹ ɕie²¹	m²¹ se⁵³							
2113	Tujia; 土家	^	*Øm̩⁴	pi²⁴ ʦɿ⁵⁵ kʰa²¹	pi³⁵ ʦi⁵³ kʰa²¹	mi³⁵ ʨi⁵⁵ kʰa³³-⁵⁵	pi³⁵ ʨi⁵⁵ kʰa²¹	m̩²¹ ǳɿ²¹	m̩²¹ ǳɿ²¹							
2114	Tujia; 土家	$	*ǳi⁴	pi²⁴ ʦɿ⁵⁵ kʰa²¹	pi³⁵ ʦi⁵³ kʰa²¹	mi³⁵ ʨi⁵⁵ kʰa³³-⁵⁵	pi³⁵ ʨi⁵⁵ kʰa²¹	m̩²¹ ǳɿ²¹	m̩²¹ ǳɿ²¹							
2115	snow; 雪	^	*su⁴	su²⁴ su⁵⁵		su³⁵ su³⁵-³³ ʦɿ³³	su³⁵ su³⁵	su²¹ su²¹								
2116	snow; 雪	$	*su⁴	su²⁴ su⁵⁵		su³⁵ su³⁵-³³ ʦɿ³³	su³⁵ su³⁵	su²¹ su²¹								
2117	hungry; 餓	^	*li@?	li²⁴ a⁵¹	a⁵³	lie⁵⁴ a³³; lia⁵⁴	ɣa⁵³	no⁵⁵								
2118	hungry; 餓	$	*ɣɑ¹ᴴ	li²⁴ a⁵¹	a⁵³	lie⁵⁴ a³³; lia⁵⁴	ɣa⁵³	no⁵⁵								
2119	egg; 蛋	^	*ʔæ	a⁵⁵ liɛ⁵⁵	za²¹ le²¹ 'chicken egg (鸡蛋)'	a⁵⁴ lie³³	za⁵⁵ lie⁵⁵	ʔa¹³ lie⁵⁵								
2120	egg; 蛋	$	*lɤ¹ᴴ	a⁵⁵ liɛ⁵⁵	za²¹ le²¹ 'chicken egg (鸡蛋)'	a⁵⁴ lie³³	za⁵⁵ lie⁵⁵	ʔa¹³ lie⁵⁵; tɕʰi⁵⁵ lie²¹ '鸡蛋 (chicken egg)'	ʨʰi⁵³ lie²¹							
2121	to cover up; 蓋上	$S	*ʔæ¹ᴴ	tu²¹	tu²¹	a³³ tu³³	tu²¹; du²¹	ʔa⁵⁵ da²¹	a⁵⁵ da¹³							
2122	to cover up; 蓋上	$S	*du²	tu²¹	tu²¹	a³³ tu³³	tu²¹; du²¹	ʔa⁵⁵ da²¹	a⁵⁵ da¹³?1	to drag; 拖		*siC¹ᴴ	ɕi⁵¹; sɿ⁵¹	ɕi⁵³ '牵'	ɕi⁵⁴ '牵'	ɕi⁵⁵
?2	to wipe; 擦		*ʔe³	jɛ²⁴	ie³⁵		je³⁵		je⁵¹ (2006S)							
?3	to hold a crutch; 拄		*tʰu¹ᴴ		tʰu⁵³	tu³⁵			tho⁵⁵ (Xu 2020)							
?4	to permeate; 滲入		*kʰɯx	kʰu²¹ 'tɔ suck'?					kʰɯ⁴⁴ (2006S)							
?5	to offer (to god); 敬		*tɯ¹ᴹ		soŋ³⁵ mu⁵³ tʰu⁵³ '敬祖先'				tɯ⁴⁴ (2006S)							
?6	to press; 壓		*lɑ¹ᴹ		la⁵³				no⁴⁴ (2006S)							
?7	to chisel; 鑿		*tuŋ¹ᴴ						tɯ⁵¹ (2006S)							
?8	to eat; 吃		*ɣe²	jɛ²¹ 'food'				ɣe³⁵								
?9	thick (liquid); 濃		*ʥɯ⁴	ʦu³⁵ (2006N) [might be 'to be sufficient', a Chinese loan]					dɯ²¹ (2006S) [might be 'heavy']							
?10	to infect; 傳染	$	*ǳɿ@?	a⁵⁵ ʦi²¹ (2006N)					ǳi²¹ (2006S)							
?11	to blink; 眨	N$	*nie@?		ʨʰi⁵³ ȵi²¹	ʨʰi⁵⁴ ȵe³³			ȵie¹³ (2006S)							
?12	oxbow; 牛軛	^	*nɑ⁴		lan³⁵ kʰu⁵³	lã⁵⁴ kʰo³³			lo²¹ zo²¹ (2006S)							
?13	thorn; 刺兒	^	*tɑ²/⁴		tʰa³⁵ se²¹	tʰa³³ sə⁵⁵			to²¹ se³⁵ (2006S)							
?14	thorn; 刺兒	$	*s[e/ɤ]²		tʰa³⁵ se²¹	tʰa³³ sə⁵⁵			to²¹ se³⁵ (2006S)							
?15	orange; 柑子	^	*kʰe@?	ʨʰiɛ²⁴ sɿ⁵⁵ (ʨʰiɛ²⁴ ɕi⁵⁵ , ʦʰɤ²⁴ sɿ⁵⁵ )	ʨʰe³⁵ si²¹				kʰe³⁵ ɕi²¹							
?16	orange; 柑子	$	*siC¹ᴴ	ʨʰiɛ²⁴ sɿ⁵⁵	ʨʰe³⁵ si²¹				kʰe³⁵ ɕi²¹							
